Site_ID_split,Dating_BP,median_SPD_age_calBP,Timeslice,LabCode/Ref,Conv_C14_date,AMS_C14_date
ThreeWaysWharfCEast,"12,000-11,000",11086,4,OxA-1523b,NA,NA
ThreeWaysWharfCEast,"12,000-11,000",11086,4,OxA-18702,NA,10060
ThreeWaysWharfCEast,"12,000-11,000",11086,4,OxA-5557,9280,NA
ThreeWaysWharfCEast,"12,000-11,000",11086,4,OxA-5558,9265,NA
ThreeWaysWharfCEast,"12,000-11,000",11086,4,OxA-5559,9200,NA
ThreeWaysWharfCWest,"12,000-11,000",11086,4,OxA-1902,NA,10010
ThreeWaysWharfCWest,"12,000-11,000",11086,4,OxA-1788,NA,10270
ThreeWaysWharfCWest,"12,000-11,000",11086,4,OxA-1523b,NA,NA
ThreeWaysWharfCWest,"12,000-11,000",11086,4,OxA-18702,NA,10060
ThreeWaysWharfCWest,"12,000-11,000",11086,4,OxA-5557,9280,NA
ThreeWaysWharfCWest,"12,000-11,000",11086,4,OxA-5558,9265,NA
ThreeWaysWharfCWest,"12,000-11,000",11086,4,OxA-5559,9200,NA
StarCarr,"11,000-10,000",11018,4,CAR-930,NA,9660
StarCarr,"11,000-10,000",11018,4,CAR-928,NA,9670
StarCarr,"11,000-10,000",11018,4,CAR-1026,NA,9680
StarCarr,"11,000-10,000",11018,4,CAR-1021,NA,11010
StarCarr,"11,000-10,000",11018,4,CAR-1020,NA,9720
StarCarr,"11,000-10,000",11018,4,CAR-1024,NA,9540
StarCarr,"11,000-10,000",11018,4,CAR-1047,NA,9690
StarCarr,"11,000-10,000",11018,4,CAR-1051,NA,10010
StarCarr,"11,000-10,000",11018,4,OxA-4799,NA,9500
StarCarr,"11,000-10,000",11018,4,OxA-21237,NA,9585
StarCarr,"11,000-10,000",11018,4,OxA-21236,NA,9561
