taxon	max	min	oneSigma_rangeMax	oneSigma_rangeMin
TS3_Brom_SS_Bromme_Mathiassen1946p1_AR_na_1_pseudo_no_5	12704	0	12755	12624
TS3_Brom_SS_Trollesgave_Fischer1990_AR_na_1_pseudo_no_3	12898	0	13087	12729
TS3_EAzil_IBC_LosAzulesUnit3_FernandezTresguerres1980_AR_na_1_pseudo_no_3	12416	0	12693	12107
TS3_EpiAhr_BSN_Remouchamps_Dewez1974_AR_P_2_pseudo_no_3	12301	0	12829	11939
TS3_LEpigrav_NEI_LaCogolaSU19_Cusinato2003_AR_p_1_pseudo_no_1	12511	0	12732	12103
TS3_LEpigrav_NEI_PaluEchen_Dalmerietal2013_AR_d_1_pseudo_no_4	12143	0	12438	11945
TS3_LEpigrav_NEI_RiparoDalmeripossiblylayer15_AgogueDalmeri2005_AR_na_2_pseudo_no_5	13326	0	13407	13245
TS3_LEpigrav_NEI_RiparoDalmeriUpperlayers_Bassettietal1998_AR_na_1_pseudo_no_21	13075	0	13231	12922
TS3_Sauv_IBM_CingledelAigua_Roman2011_AR_na_1_pseudo_no_18	12544	0	12661	12478
TS3_Sauv_IBM_Pena14_Sotoetal2019_AR_na_1_pseudo_no_13	12004	0	12469	11643
TS3_Wito_PL_Rotnowo18ll_Galinski2007_AR_p_1_pseudo_no_1	13003	0	13093	12927
TS3_Wito_PL_Witow5Cassemblage1_Chmielewska1978_AR_d_2_pseudo_no_1	12789	0	12963	12624
TS34_LAzil_IBA_Fariseu4_Aubry2009_AR_na_1_pseudo_no_10	12550	0	12614	12482
TS34_LAzil_IBA_FariseuSU4_Gameiroetal2020_AR_na_1_pseudo_no_2	12550	0	12614	12482
TS34_LPal_SG_BadBuchauKappel_Joachimetal2015_AR_p_1_pseudo_no_2	11525	0	11687	11398
TS4_Ahr_SS_SyltholmVII_Mage2019_AR_na_1_pseudo_no_1	11493	0	11683	11340
TS4_AzilTSG_ASH_Unken_Windisch2014_AR_d_1_pseudo_no_1	13157	0	13590	12736
TS4_Bell_NF_Alizay_Biardetal2015_AR_na_1_pseudo_no_6	11379	0	11598	11267
TS4_BeurA_SG_JagerhaushohleSchicht13_Taute1971_AR_na_1_pseudo_no_30	11203	0	11599	10787
TS4_ELab_SWF_PortdePenne_Langlais2020_AR_d_1_pseudo_no_5	12208	0	12594	11653
TS4_EpiAhr_PL_Bolkow1_Galinski2018_AR_p_2_pseudo_no_1	11020	0	11192	10816
TS4_ESauv_NEI_RomagnanoLocIIIlayerAE_Bartolomeietal1984_AR_na_1_pseudo_no_45	11099	0	11395	10721
TS4_LAzil_IBA_Bocas0_Bicho1999_AR_na_1_pseudo_no_1	11383	0	11810	10892
TS4_LAzil_IBC_Perro2_GonzalezMoralesDiazCasado19911992_AR_na_1_pseudo_no_4	11784	0	11994	11405
TS4_LEpigrav_NEI_LaCogolaSU18_Cusinato2003_AR_na_2_pseudo_no_4	11235	0	11267	11191
TS4_REpigrav_ASH_Altwasser_JagherFischerMorel1997_AR_na_3_pseudo_no_1	11751	0	11997	11345
TS4_Sauv_IBM_Filador4_Romanetal2021_AR_na_1_pseudo_no_23	11262	0	11747	10568
TS4_Swid_LT_Kabeliai2_Ostrauskas2002_AR_d_1_pseudo_no_1	11351	0	11692	11179
TS4_SwidAhr_PL_Kochlew1_Cyrek1996_AR_d_2_pseudo_no_1	12051	0	12583	11740
TS4_SwidAhr_PL_WojnowoAcutIII75_Kobusiewicz2016_AR_d_4_pseudo_no_1	12094	0	12434	11823
TS45_FBT_GBS_ThreeWaysWharfCWest_LewisandRackham2011_AR_p_1_pseudo_no_14	11672	0	11943	11338
TS5_EMeso_GBS_StarCarr_Milneretal2018_AR_na_1_pseudo_no_4	11018	0	11201	10751
