lower,med,upper,item,Event,taxa,traits
1.3872192064633226e-6,0.03863257635803815,0.1663515715985416,Death,GS-2,16,2
3.2804857451801724e-6,0.05952782838003718,0.25394214136820403,Death,GI-1,16,2
4.2710624373991414e-8,0.06419848481681364,0.2744983899654517,Death,GS-1,16,2
3.610409127520181e-6,0.06503306935499924,0.2806628664827943,Death,Holocene,16,2
0.04968869601858889,0.2967895733004374,0.6311624274257048,Birth,GS-2,16,2
1.1969435798386915e-5,0.10511682705131817,0.42929072729654805,Birth,GI-1,16,2
6.399285753484254e-6,0.08022387726908776,0.34401550491946536,Birth,GS-1,16,2
9.62664678312323e-6,0.0737961779659492,0.32158871225225505,Birth,Holocene,16,2
0.01225037104479089,0.24124747529284668,0.5820417421595809,Diversification,GS-2,16,2
-0.2431324440379878,0.03753717115316032,0.4208257142070164,Diversification,GI-1,16,2
-0.2682563625463767,0.011909586609930967,0.3465405485715262,Diversification,GS-1,16,2
-0.2791030424305236,0.006512706334678639,0.3177339347075666,Diversification,Holocene,16,2
3.3588325382052666e-6,0.13768345470293905,0.5866496732345352,Turnover,GS-2,16,2
1.9441055401456323e-5,0.5689312145949642,10.138179153576818,Turnover,GI-1,16,2
2.3837453105025823e-6,0.8037383856033511,14.965181829407676,Turnover,GS-1,16,2
1.2101013483902939e-5,0.8838519446432651,16.620017617368426,Turnover,Holocene,16,2
1.2090580896183775e-5,0.04472939975064914,0.1881115983086382,Death,GS-2,16,9
2.1604387081487385e-6,0.06050981047864103,0.2558377076850428,Death,GI-1,16,9
1.1115726204859632e-5,0.06166886781299136,0.26192479709292027,Death,GS-1,16,9
4.3581935565776506e-7,0.06397686698983877,0.27499758875659186,Death,Holocene,16,9
0.03353037543017956,0.23235350586278408,0.5705552650773902,Birth,GS-2,16,9
1.3479663228194457e-5,0.2299004866213293,0.6285716068944339,Birth,GI-1,16,9
1.2526716897253569e-6,0.08985316678923161,0.3675409885649828,Birth,GS-1,16,9
1.9668432675070294e-5,0.07550811915010039,0.32723231519467627,Birth,Holocene,16,9
-0.04482061322821051,0.17127578129777762,0.5268443272068838,Diversification,GS-2,16,9
-0.18296854097145338,0.15042706781067594,0.6231759377158932,Diversification,GI-1,16,9
-0.25245516503265475,0.021776533099399586,0.36986636272221546,Diversification,GS-1,16,9
-0.2736833011617586,0.008980912223440472,0.3265342799569778,Diversification,Holocene,16,9
2.0480648930310794e-5,0.19803088857288587,0.9186909631934506,Turnover,GS-2,16,9
1.2705630070981183e-5,0.2825424137805021,3.4800040804911556,Turnover,GI-1,16,9
6.971603082085671e-5,0.6888420538276652,12.68248832718809,Turnover,GS-1,16,9
1.467374892615692e-5,0.83920205757823,16.23159066123677,Turnover,Holocene,16,9
9.912362050049862e-8,0.036282368614482585,0.15838429956261044,Death,GS-2,16,44
1.2035263578096305e-6,0.06524638975780851,0.27554523660598074,Death,GI-1,16,44
7.128351818054894e-7,0.07506450152278321,0.31678249006724235,Death,GS-1,16,44
5.556192471381443e-6,0.0670895399925027,0.28857247407410536,Death,Holocene,16,44
0.15824884856039356,0.4250388051841682,0.7681091556111542,Birth,GS-2,16,44
1.3925280698528458e-6,0.0717573743076935,0.3073351068109301,Birth,GI-1,16,44
5.822731859971677e-7,0.06581541353867199,0.2847759488981223,Birth,GS-1,16,44
6.069173272247226e-6,0.07123319316004825,0.30462659448784135,Birth,Holocene,16,44
0.12308985962879171,0.37234343039106066,0.7056927420348519,Diversification,GS-2,16,44
-0.2710575178885331,0.004952532703906217,0.29949581579121626,Diversification,GI-1,16,44
-0.3135727007940441,-0.007307590900149137,0.2775578173841509,Diversification,GS-1,16,44
-0.28701979879424555,0.0026096856772553382,0.30447029314882296,Diversification,Holocene,16,44
5.693744351687722e-6,0.08886327591061982,0.3484440472779133,Turnover,GS-2,16,44
3.198331345862654e-6,0.9107008334732345,16.680624294770606,Turnover,GI-1,16,44
1.2550661139857625e-5,1.1409058244206074,22.590064061056914,Turnover,GS-1,16,44
4.1949253020094264e-5,0.952277854442251,17.875857950447188,Turnover,Holocene,16,44
4.299882238870223e-6,0.03685551752778793,0.16007386248083225,Death,GS-2,32,2
4.3874220346663394e-6,0.05321470899636725,0.2238216000479998,Death,GI-1,32,2
7.474171368250719e-6,0.05924722717654498,0.24755132698467647,Death,GS-1,32,2
1.0326328998442842e-6,0.06811237501042018,0.28797373874381776,Death,Holocene,32,2
0.20328903383414726,0.5122442935864764,0.917508548367132,Birth,GS-2,32,2
3.5859251298216905e-7,0.08642045891496866,0.3606765358633757,Birth,GI-1,32,2
1.983328329541112e-6,0.0795330697665694,0.33552147907747903,Birth,GS-1,32,2
4.017847771896473e-6,0.06916060740353716,0.30045220300588305,Birth,Holocene,32,2
0.1463986200975852,0.4582421760777654,0.8481513260718195,Diversification,GS-2,32,2
-0.2016561946058011,0.027932311849614797,0.36013040837318083,Diversification,GI-1,32,2
-0.23792115159995667,0.016091829427485604,0.33135027423289976,Diversification,GS-1,32,2
-0.2807409483024522,0.002267826830626221,0.312579954318707,Diversification,Holocene,32,2
1.0977900745750382e-5,0.07406698253740304,0.30730134529017017,Turnover,GS-2,32,2
3.9539520882652524e-5,0.6044719938652818,10.601110776271554,Turnover,GI-1,32,2
6.23280851463688e-5,0.7425445672887161,14.390572566177582,Turnover,GS-1,32,2
8.124208031086586e-6,0.958752790580597,19.019425488167734,Turnover,Holocene,32,2
8.355449718622136e-7,0.03849298566646518,0.1634857989998611,Death,GS-2,32,9
6.597369480856225e-6,0.05296818371226583,0.2245311388181519,Death,GI-1,32,9
