row_ID,Timeslice,TaxUnit,Region,Site,ShortImageRef,ToolClass,KnappingDirection,IMAGE,ARTEFACTNAME,SCALE,Timeslice_range_from,Timeslice_range_to,Long,Lat,length_cm,width_cm,area_cm2,perimeter_cm,calliper_cm,circularity,eccentricityeigen,AD,BC,amp,sym,median_SPD_age_calBP,oneSigma_rangeMin,oneSigma_rangeMax,Event
13,TS1,Cres,GBS,GoughsCave,Jacobi2004,AR,P,TS1_Cres_GBS_GoughsCave_Jacobi2004_AR_p_1,TS1_Cres_GBS_GoughsCave_Jacobi2004_AR_p_1_pseudo_no_1,0.017231,1,1,-2.765884,51.2819,6.28,1.4,5.77,13.43,6.28,2.21,0.07,0.474447806241774,2.10807908949918,2.58252689574095,0.183714565383317,14818,14367,15110,GS-2
14,TS1,EAzil,SWF,Murat,Lorblanchet1985u1996,AR,NA,TS1_EAzil_SWF_Murat_Lorblanchet1985u1996_AR_na_1,TS1_EAzil_SWF_Murat_Lorblanchet1985u1996_AR_na_1_pseudo_no_2,0.007792,1,1,1.5705,44.8039,4.12,1.17,3.27,9.05,4.12,2.39,0.11,0.246884946040702,2.16351771523142,2.41040266127212,0.102424773257762,14804,14437,15206,GS-2
15,TS1,UMag,SWF,Murat,Langlais2018,AR,D,TS1_UMag_SWF_Murat_Langlais2018_AR_d_1,TS1_UMag_SWF_Murat_Langlais2018_AR_d_1_pseudo_no_1,0.019479,1,1,1.5705,44.8039,3.87,0.51,1.6,8.11,3.87,1.94,0.03,0.163976536631693,2.04275934800575,2.20673588463744,0.074307277900016,14804,14437,15206,GS-2
16,TS3,AFeder,GBS,PinHoleCave,JacobiandHigham2009,AR,D,TS3_AFeder_GBS_PinHoleCave_JacobiandHigham2009_AR_d_1,TS3_AFeder_GBS_PinHoleCave_JacobiandHigham2009_AR_d_1_pseudo_no_1,0.017078,3,3,-1.196651,53.262352,3.94,1.26,3.16,8.51,3.94,2.62,0.13,0.263346587432166,2.14015396458503,2.4035005520172,0.109567932993045,14720,14173,15042,GS-2
17,TS1,Ham,NG,Poggenwisch,Rust1958Taf44,AR,NA,TS1_Ham_NG_Poggenwisch_Rust1958Taf44_AR_na_1,TS1_Ham_NG_Poggenwisch_Rust1958Taf44_AR_na_1_pseudo_no_24,0.041664,1,1,10.203,53.64,6.19,1.59,6.34,13.33,6.2,2.33,0.09,0.461916427567874,2.11164461406554,2.57356104163342,0.179485320182924,14678,14115,14941,GS-2
18,TS1,TransMag,SG,Felsstalle,Kind1987,AR,D,TS1_TransMag_SG_Felsstalle_Kind1987_AR_d_1,TS1_TransMag_SG_Felsstalle_Kind1987_AR_d_1_pseudo_no_9,0.013215,1,1,9.651667,48.281944,2.18,0.74,1.23,5.06,2.18,2.72,0.16,0.437581438432956,2.13670294397258,2.57428438240553,0.169981778790135,14674,14456,14980,GS-2
19,TS2,Mag,BOMO,Kulna6,Valoch1998,AR,D,TS2_Mag_BOMO_Kulna6_Valoch1998_AR_d_1,TS2_Mag_BOMO_Kulna6_Valoch1998_AR_d_1_pseudo_no_7,0.018517,2,2,16.737777,49.408333,3.69,1.11,3.34,8.45,3.71,2.6,0.15,0.290521522406654,2.2008377792866,2.49135930169325,0.116611651402189,14663,12848,15271,GS-2
20,TS1,Cres,GBS,SunHole,Jacobi2004,AR,NA,TS1_Cres_GBS_SunHole_Jacobi2004_AR_na_1,TS1_Cres_GBS_SunHole_Jacobi2004_AR_na_1_pseudo_no_1,0.006944,1,1,-2.764321,51.283486,4.78,1.53,5.14,11,4.78,2.74,0.16,0.808648197664482,2.18285804049158,2.99150623815606,0.27031472886479,14662,14315,15151,GS-2
21,TS1,Mag,BOMO,Hostim,Vencl1995,AR,D,TS1_Mag_BOMO_Hostim_Vencl1995_AR_d_2,TS1_Mag_BOMO_Hostim_Vencl1995_AR_d_2_pseudo_no_30,0.038433,1,1,14.116111,49.954444,2.02,0.71,1.15,4.64,2.02,2.86,0.19,0.455233505520483,2.16242278215902,2.61765628767951,0.173908815937037,14644,13818,15282,GS-2
22,TS1,Hav,SS,SlotsengC,HolmRieck1992,AR,NA,TS1_Hav_SS_SlotsengC_HolmRieck1992_AR_na_1,TS1_Hav_SS_SlotsengC_HolmRieck1992_AR_na_1_pseudo_no_2,0.011819,1,1,9.27,55.33,4.4,0.88,2.43,9.27,4.4,2.09,0.05,0.190653563748772,2.07266506579166,2.26331862954044,0.084236289694432,14613,14301,14890,GS-2
